category,current_price,competitor_price,demand_score,stock_quantity,sales_history,customer_visits,season_factor,recommended_price
Electronics,110395.03,114038.31,31.29,99,58,18989,0.8,103676.74
Accessories,4749.65,4188.11,15.48,78,314,4807,1.27,4675.96
Wearables,17509.76,14964.17,58.29,304,136,132,1.28,17750.0
Accessories,3710.91,3841.44,73.94,261,175,5335,0.85,3671.93
Footwear,10812.62,9464.18,80.72,366,270,3726,1.06,10656.31
Footwear,1297.78,1332.61,61.33,376,40,10459,1.15,1313.19
Wearables,35343.86,37875.08,1.37,62,736,4214,0.84,34218.66
Fashion,843.89,833.5,73.27,313,160,1601,0.84,824.77
Footwear,4259.69,4626.16,39.74,357,832,1064,1.17,4437.09
Home Appliances,19615.26,21208.46,42.75,389,618,8074,0.97,19459.92
Fashion,1866.11,1981.13,42.76,419,625,5788,1.27,1956.58
Accessories,2271.13,2271.19,78.51,185,184,13566,0.95,2276.46
Home Appliances,4613.74,4212.39,28.1,2,973,11223,1.13,4742.85
Electronics,139743.63,123472.46,51.64,496,713,15245,1.13,137384.81
Accessories,2397.15,2617.09,0.8,139,443,2380,1.06,2392.55
Electronics,63179.61,60408.34,82.86,152,748,13672,0.91,65014.99
Home Appliances,23202.22,23241.44,94.11,96,880,7022,1.0,24866.91
Footwear,10151.81,9691.6,52.16,260,425,136,1.22,10412.77
Electronics,16788.89,15761.12,45.92,86,652,11871,0.99,16988.69
Wearables,8280.81,7043.64,71.87,133,619,11331,0.95,8079.79
Home Appliances,12447.65,13907.22,24.15,137,114,11221,0.86,12236.35
Fashion,3842.64,3549.08,5.77,245,126,16580,0.97,3591.11
Footwear,7214.29,7032.0,42.89,18,194,14715,1.01,7334.57
Fashion,1444.32,1444.37,41.2,245,896,11219,0.81,1418.75
Wearables,6453.75,6138.56,14.28,281,16,15860,0.9,5986.09
Electronics,143444.67,155342.95,61.13,170,536,18222,1.0,148166.82
Fashion,1893.0,1614.72,72.34,119,823,554,1.24,1994.65
Electronics,80487.78,76470.51,79.16,205,412,4484,1.21,83845.51
Footwear,2017.56,1949.66,80.35,434,383,19041,0.9,1926.31
Home Appliances,30317.83,27422.99,74.31,334,731,11114,1.29,31915.07
Home Appliances,27707.92,31840.68,55.91,220,322,14212,0.84,27058.15
Home Appliances,24234.4,21098.81,36.96,59,883,2940,1.13,24813.08
Electronics,65387.56,67976.68,9.54,206,47,15818,1.09,63035.46
Electronics,93801.33,101735.8,75.17,294,479,11627,1.18,98556.61
Accessories,1216.38,1358.85,75.0,400,399,11016,1.1,1283.11
Wearables,26857.04,29992.29,57.88,469,573,19325,1.04,27027.26
Footwear,3202.03,3297.87,86.15,221,715,8891,1.05,3406.22
Electronics,93930.19,83606.81,44.39,278,657,7535,1.2,95432.32
Footwear,11341.94,11805.96,32.45,172,991,4301,1.03,11515.83
Home Appliances,15466.79,15909.0,26.46,486,436,1280,1.19,15190.14
Accessories,3936.21,4228.88,15.06,391,768,3798,0.93,3852.87
Home Appliances,26668.74,29776.69,82.43,315,119,18271,1.13,28117.35
Footwear,6753.37,7231.97,43.64,76,229,15673,0.92,6762.17
Home Appliances,43289.76,49358.08,82.67,139,298,1006,1.17,47055.44
Wearables,19701.38,20121.98,30.4,268,880,2900,0.81,19244.92
Footwear,10371.13,10078.7,1.37,303,500,2900,0.81,9448.31
Footwear,1257.74,1423.16,41.48,124,137,10826,0.83,1262.65
Wearables,30755.75,30223.31,70.74,426,664,5445,1.08,31114.26
Fashion,2380.48,2400.24,21.16,50,660,2877,1.05,2431.98
Home Appliances,48851.6,52004.0,59.32,202,287,19395,0.98,49625.49
Electronics,101974.66,116483.03,6.98,405,850,7032,1.1,103403.37
Accessories,499.01,510.94,45.29,429,653,19939,0.81,481.99
Footwear,6098.65,6016.09,68.57,165,642,7373,1.04,6380.86
Home Appliances,53252.09,54602.03,83.38,321,803,9852,1.1,55733.55
Wearables,18086.74,15832.58,60.68,115,438,13505,1.15,18356.85
Footwear,3481.3,3860.41,88.61,431,154,7432,0.94,3533.88
Wearables,4370.97,4154.98,6.7,118,267,13282,1.13,4284.88
Fashion,5658.81,4954.46,38.56,433,70,2461,0.88,5128.45
Fashion,911.52,894.69,52.99,292,637,14169,0.86,891.63
Accessories,1608.33,1752.26,32.63,391,92,911,0.81,1512.84
Accessories,3467.77,3012.7,21.05,85,515,11536,1.19,3491.56
Home Appliances,52285.56,46872.83,8.27,129,30,12348,1.08,49560.11
Home Appliances,47491.69,44693.82,31.17,427,111,14189,1.04,45092.95
Electronics,74635.78,85478.14,39.57,438,105,8467,1.03,74330.63
Footwear,11911.15,12497.9,19.92,462,830,7742,1.29,12368.68
Electronics,141956.59,121336.97,52.28,332,719,14586,1.05,140926.24
Electronics,131072.28,127407.69,32.82,195,186,14730,1.06,128650.81
Wearables,35815.58,39230.84,51.01,76,187,1931,1.23,38105.01
Electronics,115116.35,107498.5,13.17,119,219,16486,0.94,109273.17
Accessories,2606.6,2533.52,90.32,95,421,6905,1.08,2771.75
Footwear,11340.07,12680.41,33.75,314,798,16782,1.2,11796.29
Home Appliances,59345.73,50893.19,25.26,212,761,13957,0.92,56832.62
Accessories,2069.69,1903.32,26.54,384,910,18430,0.85,1964.01
Fashion,1803.97,2046.69,94.47,327,775,364,0.92,1899.48
Electronics,119289.7,126536.13,61.53,245,721,9154,1.15,126735.25
Wearables,31239.06,30281.88,82.76,268,170,15046,0.82,30186.43
Electronics,78224.58,84644.14,12.34,383,691,1898,1.02,77444.18
Home Appliances,59794.7,65104.61,75.37,207,264,3921,0.82,59851.02
Electronics,40533.78,45669.82,69.56,106,231,19547,1.0,42452.41
Footwear,7339.42,7673.03,21.08,220,724,3974,1.22,7549.01
Home Appliances,4091.86,4493.1,52.47,232,944,13732,0.97,4269.29
Electronics,59847.75,56145.14,4.15,358,667,10284,1.11,56913.04
Fashion,3907.89,4024.69,50.63,213,217,11989,1.28,4113.38
Accessories,3487.14,3532.14,34.69,187,493,6276,0.96,3430.31
Footwear,10374.97,9095.7,99.17,96,446,13305,1.27,11060.18
Fashion,5607.47,4870.32,9.24,399,183,3408,0.88,5014.48
Fashion,1541.66,1312.74,6.01,72,281,9157,1.18,1503.95
Fashion,1474.56,1383.55,11.48,282,463,15522,0.8,1369.91
Fashion,4444.16,4918.98,35.68,139,470,2280,0.85,4384.9
Home Appliances,13864.76,12553.01,34.21,472,851,5602,1.21,13745.64
Accessories,1653.34,1649.78,29.99,435,974,9225,0.86,1570.26
Wearables,15495.0,13381.09,21.79,470,963,16524,1.27,15327.26
Footwear,5637.26,5739.71,94.27,199,502,4348,1.2,6127.84
Wearables,5752.01,5019.77,36.15,442,236,13207,0.91,5299.3
Electronics,109460.2,113300.42,86.35,107,843,4056,0.89,113866.94
Footwear,9280.14,9450.68,24.62,219,889,18938,0.82,8977.97
Fashion,776.92,672.68,69.2,438,277,10400,1.09,762.52
Electronics,92980.29,89053.04,82.36,208,21,8919,1.25,96214.52
Electronics,59304.23,54128.03,8.47,336,495,639,1.26,58307.13
Footwear,3589.38,3461.23,80.84,309,508,16702,1.03,3662.94
Home Appliances,41714.35,36415.4,42.08,417,25,11318,0.96,38547.07
Home Appliances,12189.47,12761.44,97.12,272,248,4671,1.22,12932.51
Footwear,9554.58,8247.63,69.33,418,914,18373,1.08,9473.81
Fashion,5085.04,5565.08,61.18,144,326,14748,1.28,5540.65
Home Appliances,41521.91,43492.04,7.01,238,835,857,0.88,40188.71
Accessories,4564.07,4093.45,22.01,351,236,5363,1.08,4327.85
Footwear,4033.3,3807.1,83.65,70,503,2468,0.99,4099.98
Wearables,25933.18,25180.17,75.24,145,881,5366,1.19,27412.27
Home Appliances,11346.87,12480.18,54.03,121,493,6813,0.99,11495.39
Home Appliances,17316.65,19104.83,48.4,95,456,18198,1.25,18600.03
Footwear,10147.67,10795.64,69.67,446,451,11138,1.16,10442.67
Wearables,34573.28,37896.75,44.06,192,979,18631,1.19,36955.84
Home Appliances,42218.6,37410.59,93.85,278,713,17540,1.24,44380.01
Wearables,13674.22,13864.81,41.72,411,993,2465,1.02,13804.03
Home Appliances,25406.92,22359.96,1.66,333,354,8357,0.97,23553.33
Fashion,1785.97,1530.78,83.49,172,902,2991,1.23,1885.69
Home Appliances,15180.79,14816.47,0.97,482,186,1931,1.27,14704.4
Electronics,121295.21,114251.58,4.03,75,699,9598,1.08,122972.02
Home Appliances,14083.52,12364.75,41.05,42,16,13424,0.91,13656.76
Accessories,4141.33,4676.06,9.54,283,629,16022,0.84,4051.68
Wearables,35084.09,37811.04,72.75,398,227,15840,1.06,35435.73
Footwear,3535.51,3226.42,29.64,310,284,14021,1.17,3415.95
Fashion,811.74,698.42,39.19,470,33,9071,1.29,770.01
Accessories,4464.6,4994.58,29.73,230,914,13911,0.92,4571.21
Electronics,88653.59,78163.87,4.53,342,637,15996,0.98,83195.27
Fashion,692.17,793.86,3.0,136,617,13968,1.29,734.34
Wearables,26240.27,30059.6,76.8,186,883,1211,1.01,28670.87
Accessories,3427.22,3427.95,64.49,422,244,17360,1.14,3454.96
Accessories,3135.0,3157.2,25.36,208,224,17805,0.9,3048.09
Accessories,3970.32,4317.48,60.25,259,107,10820,0.86,3906.72
Fashion,5392.67,6110.86,76.58,385,315,15079,1.01,5598.29
Home Appliances,11173.54,9559.14,46.41,297,807,9086,1.13,10982.16
Home Appliances,10465.5,10798.3,84.94,362,282,10451,0.89,10526.33
Electronics,140396.04,133318.88,46.53,200,521,10129,1.2,143607.03
Fashion,2845.19,2886.29,17.46,410,385,5247,1.0,2755.26
Accessories,3082.48,2773.52,2.47,404,905,19103,0.84,2782.81
Fashion,2736.25,2443.43,71.47,419,21,14591,1.19,2733.95
Wearables,36210.04,39384.11,67.64,163,147,7747,1.09,37956.46
Footwear,11182.3,10597.99,12.78,230,990,13047,1.14,11122.2
Electronics,104782.56,106561.09,34.27,287,526,6688,1.05,105034.29
Footwear,4426.86,4946.39,1.36,354,784,12420,0.87,4265.24
Home Appliances,33797.07,37357.43,95.76,290,644,15610,1.08,36044.09
Fashion,3839.24,3711.08,24.03,246,640,14216,0.84,3710.92
Home Appliances,28313.9,28584.63,87.36,98,531,18015,1.03,29741.4
Electronics,69365.0,72954.79,68.22,28,111,3044,0.98,69986.05
Accessories,903.13,924.4,69.34,108,275,3194,1.2,954.49
Wearables,2976.21,2783.83,44.3,436,876,10500,0.91,2869.64
Fashion,3379.6,3158.84,29.81,76,923,13381,1.13,3435.32
Footwear,8087.96,8864.57,4.16,426,274,9713,1.0,7727.08
Accessories,1746.52,1806.06,89.79,231,327,1516,0.87,1788.29
Accessories,1985.52,2230.54,2.09,87,719,18346,1.29,2108.71
Wearables,28680.08,27229.03,67.57,74,479,14392,1.03,29584.86
Wearables,6577.0,6743.81,96.93,25,920,9319,1.03,7139.68
Electronics,83300.77,74852.15,65.81,272,962,13057,0.86,82491.5
Home Appliances,25074.64,26275.89,44.2,243,505,11400,1.01,25241.7
Home Appliances,10715.26,9743.3,18.05,440,390,12718,0.86,9721.1
Accessories,2141.19,1924.5,73.44,426,501,8971,0.91,2086.31
Home Appliances,23727.79,20870.44,11.65,407,978,18773,1.07,22788.5
Home Appliances,11456.54,10329.51,87.88,354,558,16172,1.02,11423.17
Accessories,3187.68,3210.31,31.91,431,38,15898,1.21,3130.44
Accessories,4604.2,4410.54,30.7,254,454,6446,0.86,4350.6
Fashion,5932.62,5622.38,39.41,43,711,11977,1.0,6151.86
Wearables,2398.76,2683.06,14.91,11,629,17295,0.81,2402.76
Electronics,132973.12,113542.05,22.67,234,701,11430,1.02,126177.13
Home Appliances,10244.49,9289.55,45.93,421,420,16338,1.22,10303.39
Fashion,2926.33,2662.44,26.45,97,604,6153,1.08,2922.31
Electronics,75127.18,64186.42,24.74,350,909,5848,1.1,73881.64
Accessories,367.36,364.97,2.1,149,415,7670,1.1,361.41
Fashion,3486.49,3354.5,62.53,122,878,5556,0.89,3591.42
Accessories,1447.56,1490.12,38.51,293,588,11460,1.24,1482.14
Accessories,334.47,286.89,55.33,15,332,6527,1.28,343.96
Electronics,138868.31,150442.06,82.23,277,407,14358,1.03,145671.87
Electronics,25420.32,22902.84,12.69,153,493,3967,0.92,23663.1
Electronics,22979.29,24294.11,72.88,24,529,19695,0.99,23996.66
Accessories,1098.4,951.9,33.11,159,110,15377,0.81,1017.27
Electronics,17999.5,20637.54,4.14,409,903,14337,1.28,18626.41
Wearables,5684.7,5137.31,79.75,65,969,2088,0.86,5741.7
Accessories,641.85,599.61,34.99,202,146,9240,0.92,612.31
Accessories,2602.39,2704.44,73.97,213,662,7719,0.9,2660.47
Accessories,3735.09,3645.46,57.84,402,539,19372,0.83,3608.06
Home Appliances,25956.15,26108.86,99.65,15,539,12321,1.18,28589.94
Wearables,7054.37,6332.15,94.93,84,793,6090,1.0,7272.24
Footwear,8767.84,9001.99,93.87,145,854,19968,0.88,9093.75
Electronics,41839.9,39517.92,22.46,87,882,4580,0.98,41771.69
Home Appliances,21841.98,23445.64,41.24,20,89,2209,0.87,22028.38
Electronics,32979.59,30618.25,41.91,400,27,18419,0.94,30898.06
Electronics,47748.07,41893.8,31.87,321,167,13108,0.89,43992.94
Footwear,1857.74,1596.32,71.44,371,892,6537,1.06,1860.18
Wearables,20791.8,18432.11,58.81,399,737,270,1.21,21003.66
Footwear,7805.78,7327.48,25.57,41,914,4626,0.93,7724.06
Fashion,2897.97,2979.74,58.97,69,863,6241,0.89,2959.53
Fashion,4749.69,5055.9,57.9,87,755,4526,1.21,5164.27
Accessories,1550.19,1472.42,55.74,68,246,3382,1.08,1582.72
Fashion,5372.53,5881.97,1.89,108,329,11502,0.94,5279.82
Wearables,2035.32,2281.52,2.46,163,375,12990,1.14,2052.02
Fashion,5514.49,4753.97,51.22,245,823,17005,0.9,5364.95
Wearables,13528.65,14672.73,76.59,88,798,7651,0.96,14368.21
Electronics,39631.84,45162.97,42.82,219,105,1655,0.98,39760.3
Accessories,3802.51,3497.04,40.53,466,893,1440,1.26,3821.85
Electronics,64981.35,69879.88,89.7,182,269,5636,1.28,69597.38
Electronics,136938.49,127383.55,81.24,209,731,15909,1.04,139571.81
Electronics,55832.95,61841.11,85.72,33,547,17347,1.27,61595.65
Electronics,105363.19,96869.23,24.36,381,481,9549,1.2,104518.17
Home Appliances,3292.96,3239.03,8.43,53,183,18328,1.18,3309.56
Electronics,148186.02,152535.58,8.2,195,34,16812,1.12,144170.37
